timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1516657703991,42,Q6 - Knappste Sieger,204,No Content,Users 1-16,,true,,27,142,20,20,0,0,2
1516657704024,34,Q6 - Knappste Sieger,204,No Content,Users 1-2,,true,,27,142,20,20,0,0,0
1516657704053,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-18,,true,,27,143,20,20,0,0,1
1516657704104,31,Q6 - Knappste Sieger,204,No Content,Users 1-5,,true,,27,142,20,20,0,0,0
1516657704150,33,Q6 - Knappste Sieger,204,No Content,Users 1-19,,true,,27,142,20,20,0,0,1
1516657704182,5,Q3 - Wahlkreisübersicht,204,No Content,Users 1-20,,true,,27,143,20,20,0,0,0
1516657704245,63,Q6 - Knappste Sieger,204,No Content,Users 1-17,,true,,27,142,20,20,0,0,0
1516657704026,297,Q1 - Sitzverteilung,204,No Content,Users 1-11,,true,,27,140,20,20,0,0,0
1516657704343,5,Q3 - Wahlkreisübersicht,204,No Content,Users 1-6,,true,,27,143,20,20,0,0,0
1516657704384,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-12,,true,,27,143,20,20,0,0,1
1516657704384,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-7,,true,,27,143,20,20,0,0,1
1516657704366,64,Q6 - Knappste Sieger,204,No Content,Users 1-1,,true,,27,142,20,20,0,0,0
1516657704451,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-15,,true,,27,143,20,20,0,0,0
1516657704075,459,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-4,,true,,27,140,20,20,0,0,1
1516657704239,438,Q1 - Sitzverteilung,204,No Content,Users 1-9,,true,,27,140,20,20,0,0,0
1516657704211,503,Q1 - Sitzverteilung,204,No Content,Users 1-3,,true,,27,140,20,20,0,0,0
1516657704252,485,Q1 - Sitzverteilung,204,No Content,Users 1-8,,true,,27,140,20,20,0,0,0
1516657704411,564,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-13,,true,,27,140,20,20,0,0,0
1516657704373,606,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-14,,true,,27,140,20,20,0,0,0
1516657704452,556,Q2 - Mitglieder des Bundestags,204,No Content,Users 1-10,,true,,27,140,20,20,0,0,0
1516657705131,16,Q4 - Wahlkreissieger,204,No Content,Users 1-18,,true,,27,140,20,20,0,0,0
1516657705138,12,Q3 - Wahlkreisübersicht,204,No Content,Users 1-5,,true,,27,143,20,20,0,0,0
1516657705361,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-2,,true,,27,143,20,20,0,0,0
1516657705476,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-16,,true,,27,143,20,20,0,0,0
1516657705630,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-19,,true,,27,143,20,20,0,0,0
1516657705631,32,Q6 - Knappste Sieger,204,No Content,Users 1-11,,true,,27,142,20,20,0,0,0
1516657705761,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-17,,true,,27,143,20,20,0,0,0
1516657705492,299,Q1 - Sitzverteilung,204,No Content,Users 1-20,,true,,27,140,20,20,0,0,0
1516657705831,7,Q4 - Wahlkreissieger,204,No Content,Users 1-1,,true,,27,140,20,20,0,0,0
1516657705877,5,Q3 - Wahlkreisübersicht,204,No Content,Users 1-15,,true,,27,143,20,20,0,0,0
1516657705842,45,Q6 - Knappste Sieger,204,No Content,Users 1-4,,true,,27,142,20,20,0,0,0
1516657705597,294,Q1 - Sitzverteilung,204,No Content,Users 1-6,,true,,27,140,20,20,0,0,0
1516657705666,289,Q1 - Sitzverteilung,204,No Content,Users 1-12,,true,,27,140,20,20,0,0,0
1516657705747,311,Q1 - Sitzverteilung,204,No Content,Users 1-7,,true,,27,140,20,20,0,0,0
1516657706082,34,Q6 - Knappste Sieger,204,No Content,Users 1-14,,true,,27,142,20,20,0,0,0
1516657705898,291,Q1 - Sitzverteilung,204,No Content,Users 1-8,,true,,27,140,20,20,0,0,0
1516657705994,267,Q5 - Überhangmandate,204,No Content,Users 1-9,,true,,27,140,20,20,0,0,0
1516657706022,326,Q1 - Sitzverteilung,204,No Content,Users 1-10,,true,,27,140,20,20,0,0,0
1516657706391,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-18,,true,,27,143,20,20,0,0,1
1516657706397,5,Q3 - Wahlkreisübersicht,204,No Content,Users 1-5,,true,,27,143,20,20,0,0,0
1516657706120,301,Q1 - Sitzverteilung,204,No Content,Users 1-3,,true,,27,140,20,20,0,0,0
1516657706142,314,Q1 - Sitzverteilung,204,No Content,Users 1-13,,true,,27,140,20,20,0,0,0
1516657706537,7,Q3 - Wahlkreisübersicht,204,No Content,Users 1-2,,true,,27,143,20,20,0,0,1
1516657706795,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-19,,true,,27,143,20,20,0,0,0
1516657706526,296,Q1 - Sitzverteilung,204,No Content,Users 1-16,,true,,27,140,20,20,0,0,0
1516657707070,5,Q3 - Wahlkreisübersicht,204,No Content,Users 1-17,,true,,27,143,20,20,0,0,0
1516657707243,38,Q6 - Knappste Sieger,204,No Content,Users 1-20,,true,,27,142,20,20,0,0,0
1516657707054,268,Q5 - Überhangmandate,204,No Content,Users 1-11,,true,,27,140,20,20,0,0,0
1516657707350,8,Q3 - Wahlkreisübersicht,204,No Content,Users 1-9,,true,,27,143,20,20,0,0,0
1516657707358,27,Q4 - Wahlkreissieger,204,No Content,Users 1-8,,true,,27,140,20,20,0,0,0
1516657707368,46,Q6 - Knappste Sieger,204,No Content,Users 1-6,,true,,27,142,20,20,0,0,0
1516657707350,65,Q6 - Knappste Sieger,204,No Content,Users 1-15,,true,,27,142,20,20,0,0,0
1516657707170,291,Q1 - Sitzverteilung,204,No Content,Users 1-14,,true,,27,140,20,20,0,0,0
1516657707479,6,Q3 - Wahlkreisübersicht,204,No Content,Users 1-7,,true,,27,143,20,20,0,0,0
1516657707234,301,Q5 - Überhangmandate,204,No Content,Users 1-1,,true,,27,140,20,20,0,0,0
1516657707540,42,Q6 - Knappste Sieger,204,No Content,Users 1-5,,true,,27,142,20,20,0,0,0
1516657707546,42,Q6 - Knappste Sieger,204,No Content,Users 1-10,,true,,27,142,20,20,0,0,0
1516657707301,321,Q5 - Überhangmandate,204,No Content,Users 1-12,,true,,27,140,20,20,0,0,0
1516657707339,290,Q5 - Überhangmandate,204,No Content,Users 1-4,,true,,27,140,20,20,0,0,1
1516657707717,11,Q3 - Wahlkreisübersicht,204,No Content,Users 1-3,,true,,27,143,20,20,0,0,0
1516657707785,13,Q4 - Wahlkreissieger,204,No Content,Users 1-18,,true,,27,140,20,20,0,0,0
1516657707812,31,Q6 - Knappste Sieger,204,No Content,Users 1-19,,true,,27,142,20,20,0,0,0
